MBP	0.0588762073568434
TF	0.194650947824676
EVI2A	0.188168974727157
ASPA	0.186784433342853
MOG	0.195357083373497
FA2H	0.200102061570461
GPR37	0.193520242695978
MAG	0.172600994245275
UGT8	0.149727167991959
MAL	0.201927998040517
MOBP	0.0739666527943712
ERBB3	0.192548833522452
APOD	0.0914850902087363
PDE8A	0.181944731237384
ELOVL1	0.198385298196361
LPAR1	0.102272316904072
PLLP	0.203235643229709
SOX10	0.182245737113156
EFHD1	0.182923476789002
PLA2G16	0.193568012169197
OLIG2	0.164580100471821
NKX2-2	0.17606569745294
GSN	0.168589981503441
LITAF	0.197798235571334
PTGDS	0.106705172954002
VAMP3	0.179948839998573
PLP1	0.173236307075114
TPPP3	0.14162728701539
GATM	0.0635799930334032
SLC44A1	0.107891260648335
NDRG1	0.147345239794087
GAL3ST1	0.13089682185
TGFA	0.149477049018075
PDLIM2	-0.0605335112578282
PHLDB1	0.146168158447436
GAMT	0.0149507136075663
SH3GL3	0.123705398516963
CDC42EP1	0.149059331567417
TESK2	0.136495083141612
CARHSP1	0.0127975040865187
THBS3	0.024189037248887
CLDN11	0.0612678903361405
LIMS2	0.0198534386902768
FAM102A	0.128191886329207
WIPF1	0.036739079886694
