MBP	0.0582685411440151
TF	0.19215013488943
EVI2A	0.186534349734728
ASPA	0.185770614491926
MOG	0.192861090231341
FA2H	0.198356803447217
GPR37	0.191522230256935
MAG	0.169639656412154
UGT8	0.148619516259208
MAL	0.199571388604437
MOBP	0.071112564236878
ERBB3	0.19018097522175
APOD	0.0885739428165043
PDE8A	0.180405364521
ELOVL1	0.195839352138475
LPAR1	0.0996482740361779
PLLP	0.20047235237153
SOX10	0.179361561552189
EFHD1	0.180622392514486
PLA2G16	0.190165099456136
JAM3	0.200953679776622
OLIG2	0.161949954783068
NKX2-2	0.174418836541165
GSN	0.166413077879267
LITAF	0.195622072006429
PTGDS	0.10373284830852
VAMP3	0.177090105072094
PLP1	0.171291001527037
TPPP3	0.138479294374329
GATM	0.0628776956827043
SLC44A1	0.106397681061389
NDRG1	0.144270634608441
GAL3ST1	0.128869307920113
TGFA	0.148688172578734
PDLIM2	-0.0597940995346834
PHLDB1	0.143197120516214
GAMT	0.0131143496623987
RHOG	0.153725981001218
SH3GL3	0.122609859439791
TESK2	0.134771902900205
CARHSP1	0.0107287799799819
THBS3	0.0229220997774012
CLDN11	0.0593673287190709
LIMS2	0.019832560048476
WIPF1	0.0366020336118623
